img;norma;equivalente;desc;inox;aco;aluminio;outros;img_aux;img_thumb;img1;img2;img3
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
cat2.png;DIN 125;ISO 4730;Anilha;;;;;;;;;
