img;norma;equivalente;desc;inox;aco;aluminio;outros;img_aux;img
prm_84_1_opt.jpg;DIN 84;ISO 1207;Parafuso Cabeça Cilíndrica com Fenda;;;;;prm_84_2_opt.jpg;
prm_86_1_opt.jpg;DIN 86;;Parafuso Cabeça de Lentilha com Fenda;;;;;prm_86_2_opt.jpg;
prm_603_1_opt.jpg;DIN 603;ISO 8677;Parafuso Cabeça Tremoço com Fenda;;;;;prm_603_2_opt.jpg;
prm_912_1_opt.jpg;DIN 912;ISO 4762;Parafuso Cabeça Cilíndrica Sextavada Interior;;;;;prm_912_2_opt.jpg;
prm_931_1_opt.jpg;DIN 931;ISO 4014;Parafuso Cabeça Sextavada Rosca Parcial;;;;;prm_931_2_opt.jpg;
prm_933_1_opt.jpg;DIN 933;ISO 4017;Parafuso Cabeça Sextavada Rosca Total;;;;;prm_933_2_opt.jpg;
prm_963_1_opt.jpg;DIN 963;ISO 2009;Parafuso Cabeça de Embeber com Fenda;;;;;prm_963_2_opt.jpg;
prm_964_1_opt.jpg;DIN 964;ISO 2010;Parafuso Cabeça de Lentilha Phillips;;;;;prm_964_2_opt.jpg;
prm_965_1_opt.jpg;DIN 965;ISO 7046;Parafuso Cabeça de Embeber Phillips;;;;;prm_965_2_opt.jpg;
prm_966_1_opt.jpg;DIN 966;ISO 7047;Parafuso Cabeça Tremoço Arreigada Quadrada;;;;;prm_966_2_opt.jpg;
prm_6912_1_opt.jpg;DIN 6912;;Parafuso Cabeça Cilíndrica Baixa Sextavado Interior;;;;;prm_6912_2_opt.jpg;
prm_6914_1_opt.jpg;DIN 6914;ISO 14399;Parafuso Cabeça Sextavada Construção Metálica;;;;;prm_6914_2_opt.jpg;
prm_6921_1_opt.jpg;DIN 6921;ISO 4162;Parafuso Cabeça Sextavada com Falsa Anilha;;;;;prm_6921_2_opt.jpg;
prm_6912_1_opt.jpg;DIN 7984;;Parafuso Cabeça Cilíndrica Sextavada Interior;;;;;prm_6912_2_opt.jpg;
prm_7985_1_opt.jpg;DIN 7985;ISO 7045;Parafuso Cabeça Cilíndrica Ovalizada Phillips;;;;;prm_7985_2_opt.jpg;
prm_7991_1_opt.jpg;DIN 7991;ISO 10642;Parafuso Cabeça de Embeber Sextavado Interior;;;;;prm_7991_2_opt.jpg;
prm_7380_1_opt.jpg;ISO 7380;;Parafuso Cabeça Oval com Fenda;;;;;prm_7380_2_opt.jpg;
prm_NFE271281_opt.jpg;NFE 27129;;Parafuso Cabeça de Tremoço com Fenda;;;;;prm_NFE27129_2_opt.jpg;
